Sentence ,Masked Sentence,Options,Truth,Options,Rule
"How pleased I am to see you!' said Vronsky, a friendly smile disclosing his fine white teeth.","How pleased I  <***> to see you!'  <***> Vronsky, a friendly smile disclosing his fine white teeth.","am,is*said,says",am*said,,S_V
I heard the name of Vronsky but I did not know which Vronsky.,I  <***> the name of Vronsky but I  <***> know which Vronsky.,"heard,hearding*didn't,doesn't",heard*didn't,,S_V*N_P_I
"I am now going to her,' he said in French, attentively watching Golenishchev's expression.","I  <***> now going to her,' he said in French, attentively  <***> Golenishchev's expression.","am,is*scrutinizing,scrutinize",am*scrutinizing,,S_V
"I did not know,' Golenishchev replied in a tone of indifference, though he was quite aware of it.","I  <***> know,' Golenishchev <***> in a tone of indifference, though he was quite aware of it.","didn't,doesn't*replied,replies",didn't*replied,,N_P_I*S_V
"Three days,' answered Vronsky, still attentively scrutinizing his friend's face.","Three days,'  <***>Vronsky, still attentively  <***> his friend's face.","answered,answers*scrutinizing,scrutinize",answered*scrutinizing,,S_V
"I can introduce him to Anna, as he sees the matter rightly.'","I  <***> introduce him to Anna, as he <***> the matter rightly.'","can,could*sees,see",can*sees,,S_V
"Evidently he avoided, without the least effort, everything in conversation that might have sounded awkward.","Evidently he  <***>, without the least effort, everything in conversation that might  <***> sounded awkward.","avoided,avoids*have,has",avoided*have,,S_V
"He had never met Anna before and was struck by her beauty, and still more by the simplicity with which she accepted her position.","He  <***> never met Anna before and  <***>struck by her beauty, and still more by the simplicity with which she accepted her position.","had,have*was,were",had*was,,S_V
"She blushed when Vronsky showed Golenishchev in, and the childlike flush that suffused her open and handsome face pleased him exceedingly.","She  <***> when Vronsky showed Golenishchev in, and the childlike flush that  <***> her open and handsome face pleased him exceedingly.","blushed,blush*suffused,suffuses",blushed*suffused,,S_V
This straightforward and simple attitude toward her own position pleased Golenishchev and she  was promoted to higher position within two years.,This straightforward and simple attitude toward her own position  <***>Golenishchev and she  <***> promoted to higher position within two years.,"pleased,please*was,were",pleased*was,,S_V
"Noticing Anna's good-natured, bright, and energetic manner, he thought that, knowing both Karenin and Vronsky as he did, he quite understood her.","Noticing Anna's good-natured, bright, and energetic manner, he thought that, knowing both Karenin and Vronsky as he <***>, he quite <***> her.","did,do*understood,understand",did*understood,,S_V
"It is mentioned in the guide-book,' said Golenishchev, referring to the palazzo Vronsky was taking.","It<***> mentioned in the guide-book,' said Golenishchev, referring to the palazzo Vronsky <***> taking.","is,are*was,were",is*was,,S_V
There is a fine Tintoretto and there was one of his later period.',There<***> a fine Tintoretto  and there <***> one of his later period ',"is,are*was,were",is*was,,S_V
"I say, the weather is glorious: let us go and have another look at it,' said Vronsky to Anna.","I say, the weather <***> glorious: let us go and <***> another look at it,' said Vronsky to Anna.","is,are*have,has",is*have,,S_V
"You say it's hot' she asked, stopping at the door and looking inquiringly at Vronsky, while a bright flush again suffused her face.","You <***> it's hot' she asked, <***> at the door and looking inquiringly at Vronsky, while a bright flush again suffused her face.","say,says*stopped,stops",say*stopped,,S_V
She thought she had understood him completely and above all that he was satisfied with her.,She<***>she <***> understood him completely and above all that he was satisfied with her.,"thought,thoughts*had,have",thought*had,,S_V
She gave him a smile and went out with rapid steps.,She <***> him a smile and <***> out with rapid steps.,"gave,give*went,go",gave*went,,S_V
"Well, and so you have settled down here?' said Vronsky in order to begin a conversation.","Well, and so you <***> settled down here?' <***>Vronsky in order to begin a conversation.","have,has*said,says",have*said,,S_V
"You are still busy at the same thing?' he went on, recollecting that he had heard the other was writing something.","You <***> still busy at the same thing?' he went on, recollecting that he <***> heard the other was writing something.","are,is*had,have",are*had,,S_V
"Yes, I am writing the second part of Two Principles,' said Golenishchev, flushing with pleasure at the question.","Yes, I <***> writing the second part of Two Principles,' <***> Golenishchev, flushing with pleasure at the question.","am,is*said,says",am*said,,S_V
"To be quite exact, I mean, I am not yet writing, but am collecting the materials.","To be quite exact, I mean, I <***> not yet writing, but <***> collecting the materials.","am,is*am,are",am*am,,S_V
The book will be much fuller and will deal with almost all the questions.,The book <***> be much fuller and <***> deal with almost all the questions.,"will,shall*will,shall",will*will,,S_V
"We in Russia are slow to realize that we are the inheritors of Byzantium,' and he began a long and heated explanation.","We in Russia <***> slow to realize that we <***> the inheritors of Byzantium,' and he began a long and heated explanation.","are,is*are,were",are*are,,S_V
"Yet Vronsky was surprised at, and sorry to see, the irritable excitement with which Golenishchev spoke on the subject that interested him.","Yet Vronsky <***> surprised at, and sorry to see, the irritable excitement with which Golenishchev <***> on the subject that interested him.","was,were*spoke,speaks",was*spoke,,S_V
"He did not like this, but nevertheless he felt that Golenishchev was not happy and he was sorry for him.","He <***> like this, but nevertheless he felt that Golenishchev <***> not happy and he was sorry for him.","didn't,doesn't*was,were",didn't*was,,N_P_I*S_V
"With renewed love he himself glanced at his charming companion, so full of vitality and joy.","With renewed love he <***> <***> at his charming companion, so full of vitality and joy.","himself,herself*glanced,glance",himself*glanced,,R_A*S_V
"With an effort Golenishchev recollected himself, but he was at first dejected and morose.","With an effort Golenishchev recollected <***>, but he <***> at first dejected and morose.","himself,herself*was,were",himself*was,,R_A*S_V
"Anna however, who at that time was amiably disposed to every one, soon revived him by her simple and cheerful behaviour.","Anna however, who at that time <***> amiably disposed to every one, soon <***>him by her simple and cheerful behaviour.","was,were*revived,revive",was*revived,,S_V
They walked to the house they had taken and looked over it.,They <***>to the house they <***>taken and looked over it.,"walked,walks*had,has",walked*had,,S_V
"I am very pleased about one thing,' said Anna to Golenishchev when they had returned to the hotel.","I <***> very pleased about one thing,' said Anna to Golenishchev when they <***> returned to the hotel.","am,is*had,have",am*had,,S_V
"Do you paint?' inquired Golenishchev, turning quickly to Vronsky.","Do you paint?' <***> Golenishchev,<***> quickly to Vronsky.","inquired,inquire*turning,turns",inquired*turning,,S_V
"Yes, I went in for it long ago, and now have begun a little,' answered Vronsky with a blush.","Yes, I <***> in for it long ago, and now <***>begun a little,' answered Vronsky with a blush.","went,go*have,has",went*have,,S_V
"He is very talented,' said Anna with a pleased smile.","He<***> very talented,' <***> Anna with a pleased smile.","is,are*said,says",is*said,,S_V
"Of course I am no judge, but people who do know say so.'","Of course I <***> no judge, but people who <***> know say so.'","am,is*do,does",am*do,,S_V
"DURING THIS, THE FIRST PERIOD of her freedom and rapid recovery, Anna herself was unpardonably happy and full of the joy of life.","DURING THIS, THE FIRST PERIOD of her freedom and rapid recovery, Anna <***><***>unpardonably happy and full of the joy of life.","herself,himself*was,were",herself*was,,R_A*S_V
